0|0|0|0|0|0|0|-0.6|0|0|0|
0|0|0|0|0|0|0|-1.58|0|0|0|
0|0|0|0|0|0|0|-5.8|-0.42|-0.7|0|
0|0|0|0|0|0|0|-6.41999|-6.31999|-0.7|0|
0|0|0|0|0|0|0|-6.41999|-6.31999|-1.48|0|
0|0|0|0|0|0|0|-6.41999|-6.31999|-5.94|0|
0|0|0|0|0|0|0|-6.41999|-6.31999|-6.47999|0|
0|-1.62|0|0|1.5|0|0|-6.41999|-6.31999|-6.47999|0|
0|-1.62|-0.52|0|1.5|0.58|0|-6.41999|-6.31999|-6.47999|0|
0|-1.84|-0.98|0.54|1.5|0.58|0|-6.41999|-6.31999|-6.47999|0|
0.18|-1.84|-0.98|0.54|1.5|0.58|0|-6.41999|-6.31999|-6.47999|0|
0.18|-1.84|-0.98|0.54|1.86|0.74|0|-6.41999|-6.31999|-6.47999|0|
0.18|-5.24|-0.98|0.54|1.86|0.74|0|-6.41999|-6.31999|-6.47999|0|
0.18|-7.13999|-0.98|0.54|1.86|0.74|0|-6.41999|-6.31999|-6.47999|0|
0.18|-7.13999|-0.98|1.08|2.26|1.12|0|-6.41999|-6.31999|-6.47999|0|
0.18|-7.79999|-0.98|1.08|2.26|1.12|0|-6.41999|-6.31999|-6.47999|0|
0.18|-7.79999|-0.98|1.08|2.26|1.12|0.2|-7.81999|-6.31999|-6.47999|0|
0.18|-7.79999|-0.98|1.08|2.26|1.12|0.2|-7.81999|-6.31999|-7.81999|0|
0.18|-7.79999|-0.98|1.08|2.26|1.12|0.2|-13.0801|-6.67999|-7.81999|0|
